,pango_lin,Slope
0,BA.1vsBA.2,-0.014727266969656452
1,BA.1vsBA.3,-0.007059369781431699
2,BA.1vsBA.4,-0.051088170936499214
3,BA.1vsBA.5,-0.05514745096339241
4,BA.2vsBA.1,0.01472726696965645
5,BA.2vsBA.3,0.012644158754857094
6,BA.2vsBA.4,-0.032840173221995554
7,BA.2vsBA.5,-0.03629107690471488
8,BA.3vsBA.1,0.007059369781431699
9,BA.3vsBA.2,-0.012644158754857094
10,BA.3vsBA.4,-0.053642543018103686
11,BA.3vsBA.5,-0.05070813125381704
12,BA.4vsBA.1,0.051088170936499214
13,BA.4vsBA.2,0.032840173221995554
14,BA.4vsBA.3,0.053642543018103686
15,BA.4vsBA.5,-0.0031533037725528963
16,BA.5vsBA.1,0.05514745096339241
17,BA.5vsBA.2,0.03629107690471485
18,BA.5vsBA.3,0.05070813125381704
19,BA.5vsBA.4,0.0031533037725528954
